Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
183,42698784.0,3.A.2.Ff,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D180,3.A.2.Pf,3.A.2.Pf North Sahel Semi-Desert Scrub & Grassland,MA183,3.A.2.Pf.3,3.A.2.Pf.3-North Sahel Treed Steppe & Grassland,North Sahel Treed Steppe & Grassland,1,0.658824,0.658824,0.0,1.0
191,1632.0,3.A.2.Fg,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D181,3.A.2.Pg,3.A.2.Pg Sahara Warm Desert Scrub & Grassland,MA191,3.A.2.Pg.1,3.A.2.Pg.1-Mountainous Saxicolous Grassland,Mountainous Saxicolous Grassland,1,0.45098,0.45098,0.0,1.0
192,27811421.0,3.A.2.Fg,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D181,3.A.2.Pg,3.A.2.Pg Sahara Warm Desert Scrub & Grassland,MA192,3.A.2.Pg.2,3.A.2.Pg.2-Saharan Herbaceous Steppe,Saharan Herbaceous Steppe,1,1.0,1.0,0.745098,1.0
193,60961703.0,3.A.2.Fg,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D181,3.A.2.Pg,3.A.2.Pg Sahara Warm Desert Scrub & Grassland,MA193,3.A.2.Pg.3,3.A.2.Pg.3-Saharan Shrub Steppe,Saharan Shrub Steppe,1,0.619608,0.733333,0.843137,1.0
195,592806.0,3.A.2.Fg,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D181,3.A.2.Pg,3.A.2.Pg Sahara Warm Desert Scrub & Grassland,MA195,3.A.2.Pg.5,3.A.2.Pg.4-Saharan Sandy Grassland,Saharan Sandy Grassland,1,1.0,1.0,0.745098,1.0
196,16435330.0,3.A.2.Fh,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D182,3.A.2.Fh,3.A.2.Fh Nama Karoo Semi-Desert Scrub & Grassland,MA196,3.A.2.Fh.1,3.A.2.Fh.1-Bushmanland Semi-Desert Scrub & Grassland,Bushmanland Semi-Desert Scrub & Grassland,1,0.729412,0.560784,0.294118,1.0
197,16182961.0,3.A.2.Fh,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D182,3.A.2.Fh,3.A.2.Fh Nama Karoo Semi-Desert Scrub & Grassland,MA197,3.A.2.Fh.2,3.A.2.Fh.2-Upper Karoo Semi-Desert Scrub & Grassland,Upper Karoo Semi-Desert Scrub & Grassland,1,0.780392,0.313726,0.376471,1.0
198,4775995.0,3.A.2.Fh,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D182,3.A.2.Fh,3.A.2.Fh Nama Karoo Semi-Desert Scrub & Grassland,MA198,3.A.2.Fh.3,3.A.2.Fh.3-Lower Karoo Semi-Desert Scrub & Grassland,Lower Karoo Semi-Desert Scrub & Grassland,1,0.839216,0.505882,0.517647,1.0
199,10325836.0,3.A.2.Fh,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D182,3.A.2.Fh,3.A.2.Fh Nama Karoo Semi-Desert Scrub & Grassland,MA199,3.A.2.Fh.4,3.A.2.Fh.4-Southern Namibian Semi-Desert Scrub & Grassland,Southern Namibian Semi-Desert Scrub & Grassland,1,0.741176,0.345098,0.286275,1.0
200,6681169.0,3.A.2.Fh,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D182,3.A.2.Fh,3.A.2.Fh Nama Karoo Semi-Desert Scrub & Grassland,MA200,3.A.2.Fh.5,3.A.2.Fh.5-Pro-Namib Semi-Desert Scrub,Pro-Namib Semi-desert Scrub,1,0.796078,0.427451,0.411765,1.0
201,4835794.0,3.A.2.Fh,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D182,3.A.2.Fh,3.A.2.Fh Nama Karoo Semi-Desert Scrub & Grassland,MA201,3.A.2.Fh.6,3.A.2.Fh.6-Kaokoveld Semi-Desert Scrub,Kaokoveld Semi-desert Scrub,1,0.937255,0.294118,0.388235,1.0
202,5373719.0,3.A.2.Fi,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D183,3.A.2.Fi,3.A.2.Fi Namib-Gariep Desert,MA202,3.A.2.Fi.2,3.A.2.Fi.2-Southern Namib Desert,Southern Namib Desert,1,0.843137,0.619608,0.619608,1.0
204,2878373.0,3.A.2.Fi,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D183,3.A.2.Fi,3.A.2.Fi Namib-Gariep Desert,MA204,3.A.2.Fi.4,3.A.2.Fi.4-Northern Namib Desert,Northern Namib Desert,1,0.713726,0.552941,0.623529,1.0
206,84377326.0,3.A.2.Fj,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D184,3.A.2.Pj,3.A.2.Pj Saharan Desert,MA206,3.A.2.Pj.1,3.A.2.Pj.1-Saharan Desert Pavement,Saharan Desert Pavement,1,0.6,0.5,0.4,1.0
207,57465033.0,3.A.2.Fj,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D184,3.A.2.Pj,3.A.2.Pj Saharan Desert,MA207,3.A.2.Pj.2,3.A.2.Pj.2-Saharan Desert Rock Outcrop,Saharan Desert Rock Outcrop,1,0.843137,0.760784,0.619608,1.0
208,617975575.0,3.A.2.Fj,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D184,3.A.2.Pj,3.A.2.Pj Saharan Desert,MA208,3.A.2.Pj.3,3.A.2.Pj.3-Saharan Desert Dune & Sand Plain,Saharan Desert Dune and Sand Plain,1,0.980392,0.941176,0.811765,1.0
211,3275133.0,3.A.2.Fi,3 Desert & Semi-Desert,"3.A Warm Desert & Semi-Desert Woodland, Scrub & Grassland",3.A.2,3.A.2,D183,3.A.2.Fi,3.A.2.Fi Namib-Gariep Desert,MA211,3.A.2.Fi.1,3.A.2.Fi.1-Gariep Desert,Gariep Desert,1,0.937255,0.717647,0.686275,1.0
216,2624009.0,1.A.5.Ua,1 Forest to Open Woodland,1.A Tropical Forest,1.A.5,1.A.5,D004,1.A.5.Ua,1.A.5.Ua Atlantic & Caribbean & East Pacific Mangrove,MA216,1.A.5.Ua.1,1.A.5.Ua.1-Atlantic Ocean Mangrove,Atlantic Ocean Mangrove,1,0.298039,0.901961,0.0,1.0
221,3127244.0,2.B.7.Fg,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D173,2.B.7.Ps,2.B.7.Ps Northern Aftrican Temperate Coastal Marsh,MA221,2.B.7.Ps.1,2.B.7.Ps.1-Mediterranean Coastal Salt Marsh,Mediterranean Coastal Salt Marsh,1,0.1,0.8,0.8,1.0
222,145169.0,2.B.7.Fg,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D173,2.B.7.Fg,2.B.7.Fg Southern Aftrican Temperate Coastal Marsh,MA222,2.B.7.Fg.1,2.B.7.Fg.1-African Cape Coastal Salt Marsh,African Cape Coastal Salt Marsh,1,0.45098,0.698039,1.0,1.0
226,8176.0,2.B.7.Fh,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D174,2.B.7.Fh,2.B.7.Fh Tropical Coastal Salt Marsh,MA226,2.B.7.Fh.1,2.B.7.Fh.1-Tropical African Coastal Salt Marsh,Tropical African Coastal Salt Marsh,1,0.521569,0.513726,1.0,1.0
236,18500002.0,2.B.7.Fi,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D175,2.B.7.Fi,2.B.7.Fi Eastern African Salt Pan,MA236,2.B.7.Fi.1,2.B.7.Fi.1-Eastern African Salt Marsh,Eastern African Salt Marsh,1,0.643137,0.686275,0.545098,1.0
241,1234433.0,2.B.7.Fj,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D176,2.B.7.Fj,2.B.7.Fj Southern African Salt Pan,MA241,2.B.7.Fj.1,2.B.7.Fj.1-Etosha Salt Pan,Etosha Salt Pan,1,1.0,1.0,1.0,1.0
242,17419297.0,2.B.7.Fj,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D176,2.B.7.Fj,2.B.7.Fj Southern African Salt Pan,MA242,2.B.7.Fj.2,2.B.7.Fj.2-Kalahari Salt Pan,Kalahari Salt Pan,1,1.0,1.0,1.0,1.0
243,4846566.0,2.B.7.Fj,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D176,2.B.7.Fj,2.B.7.Fj Southern African Salt Pan,MA243,2.B.7.Fj.3,2.B.7.Fj.3-Bushmanland-Highveld Salt Pan,Bushmanland-Highveld Salt Pan,1,1.0,1.0,1.0,1.0
244,510424.0,2.B.7.Fj,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D176,2.B.7.Fj,2.B.7.Fj Southern African Salt Pan,MA244,2.B.7.Fj.4,2.B.7.Fj.4-Lowveld-Limpopo Salt Pan,Lowveld-Limpopo Salt Pan,1,1.0,1.0,1.0,1.0
246,29857616.0,2.A.5.Fc,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D169,2.A.5.Fc,2.A.5.Fc Tropical Herbaceous Swamp & Aquatic Vegetation,MA246,2.A.5.Fc.1,2.A.5.Fc.1-African Tropical Freshwater Marsh (Dembos),African Tropical Freshwater Marsh (Demos),1,0.537255,0.803922,0.4,1.0
247,2344138.0,2.B.6.Fd,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.6,2.B.6,D169,2.A.5.Fc,2.A.5.Fc Tropical Herbaceous Swamp & Aquatic Vegetation,MA247,2.A.5.Fc.4,2.A.5.Fc.4-African Temperate Moorland,African Temperate Moorland,1,0.541176,0.698039,0.380392,1.0
248,264750.0,2.B.6.Fd,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.6,2.B.6,D172,2.B.6.Fd,2.B.6.Fd African Temperate Herbaceous Swamp & Aquatic Vegetation,MA248,2.B.6.Fd.2,2.B.6.Fd.2-African Temperate Vernal Pool,African Temperate Vernal Pool,1,0.0,0.662745,0.901961,1.0
268,330044.0,6.B.2.Fd,6 Rock Vegetation,"6.B Mediterranean, Temperate & Boreal Rock Vegetation",6.B.2,6.B.2,D186,6.B.2.Fd,"6.B.2.Fd African Temperate Cliff, Scree, Rock & Dune Vegetation",MA268,6.B.2.Fd.2,6.B.2.Fd.2-African Temperate Dune Vegetation,African Temperate Dune Vegetation,1,1.0,0.921569,0.745098,1.0
269,118789.0,6.A.1.Fc,6 Rock Vegetation,6.A Tropical Rock Vegetation,6.A.1,6.A.1,D185,6.A.1.Fc,"6.A.1.Fc African Tropical Cliff, Scree, Rock & Dune Vegetation",MA269,6.A.1.Fc.6,6.A.1.Fc.7-African Tropical Dune Vegetation,African Tropical Dune Vegetation,1,1.0,0.921569,0.745098,1.0
271,13879498.0,1.A.5.Wb,1 Forest to Open Woodland,1.A Tropical Forest,1.A.5,1.A.5,D071,1.A.5.Wb,1.A.5.Wb Indo-West Pacific Mangrove,MA271,1.A.5.Wb.1,1.A.5.Wb.1-Indian Ocean Mangrove,Indian Ocean Mangrove,1,0.34902,1.0,0.0980392,1.0
301,3691222.0,1.A.1.Ff,1 Forest to Open Woodland,1.A Tropical Forest,1.A.1,1.A.1,D154,1.A.1.Ff,1.A.1.Ff Eastern African Dry Semi-Deciduous Forest,MA301,1.A.1.Ff.2,1.A.1.Ff.2-Eastern African Coastal Dry Semi-Deciduous Forest,Eastern African Coastal Dry Semi-Deciduous Forest,1,0.486275,0.27451,0.286275,1.0
304,2850956.0,1.B.3.Ff,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.3,1.B.3,D163,1.B.3.Ff,1.B.3.Ff Southern African Riparian Phreatophyte Vegetation,MA304,1.B.3.Ff.1,1.B.3.Ff.1-Southern African Riparian Phreatophyte Vegetation,Southern African Riparian Phreatophyte Vegetation,1,0.45098,0.45098,0.0,1.0
305,4167915.0,2.A.5.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D171,2.A.5.Pm,2.A.5.Pm Northern African Phreatophyte Vegetation,MA305,2.A.5.Pm.6,2.A.5.Pm.6-Northern African Riparian Phreatophyte Vegetation,Northern African Riparian Phreatophyte Vegetation,1,0.5,0.9,0.7,1.0
306,18723563.0,2.A.5.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D171,2.A.5.Pm,2.A.5.Pm Northern African Phreatophyte Vegetation,MA306,2.A.5.Pm.5,2.A.5.Pm.5-Northern African Flooded Riparian Woodland,Northern African Flooded Riparian Woodland,1,0.537255,0.803922,0.4,1.0
500,5311126.0,1.A.1.Fg,1 Forest to Open Woodland,1.A Tropical Forest,1.A.1,1.A.1,D155,1.A.1.Fg,1.A.1.Fg Albany Subtropical Thicket,MA500,1.A.1.Fg.1,1.A.1.Fg.1-Albany Subtropical Thicket,Albany Subtropical Thicket,1,0.643137,0.419608,0.396078,1.0
601,2593660.0,1.A.1.Fh,1 Forest to Open Woodland,1.A Tropical Forest,1.A.1,1.A.1,D156,1.A.1.Fh,1.A.1.Fh Southern African Dry Tropical Forest,MA601,1.A.1.Fh.2,1.A.1.Fh.2-Maputaland Sand Forest,Maputaland Sand Forest,1,0.490196,0.235294,0.317647,1.0
602,3990030.0,1.A.1.Fh,1 Forest to Open Woodland,1.A Tropical Forest,1.A.1,1.A.1,D156,1.A.1.Fh,1.A.1.Fh Southern African Dry Tropical Forest,MA602,1.A.1.Fh.3,1.A.1.Fh.3-Zambesian Cryptosepalum Dry Forest,Zambesian Cryptosepalum Dry Forest,1,0.407843,0.396078,0.14902,1.0
603,14617136.0,1.A.1.Fe,1 Forest to Open Woodland,1.A Tropical Forest,1.A.1,1.A.1,D150,1.A.1.Fe,1.A.1.Fe Malagasy Dry Deciduous & Evergreen Forest & Woodland,MA603,1.A.1.Fe.1,1.A.1.Fe.1-Madagascar Western Dry Forest,Madagascar Western Dry Forest,1,0.498039,0.521569,0.203922,1.0
605,4373351.0,2.A.5.Fd,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D170,2.A.5.Fd,2.A.5.Fd Southern African Phreatophyte Vegetation,MA605,2.A.5.Fd.1,2.A.5.Fd.1-Okavango-Cuvelai Phreatophyte Vegetation,Okavango-Cuvelai Phreatophyte Vegetation,1,0.266667,0.537255,0.439216,1.0
606,43612373.0,2.B.1.Fi,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.1,2.B.1,D302,2.B.1.Pk,2.B.1.Pk Northern African Mediterranean Scrub,MA606,2.B.1.Pk.1,2.B.1.Pk.1-Mediterranean Montane Scrub,Mediterranean Montane Scrub,1,0.7,0.6,0.1,1.0
607,25796810.0,2.B.1.Fi,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.1,2.B.1,D302,2.B.1.Pk,2.B.1.Pk Northern African Mediterranean Scrub,MA607,2.B.1.Pk.2,2.B.1.Pk.2-Mediterranean Lowland Scrub,Mediterranean Lowland Scrub,1,0.8,0.6,0.2,1.0
608,1153041.0,2.B.6.Fd,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.6,2.B.6,D172,2.B.6.Fd,2.B.6.Fd African Temperate Herbaceous Swamp & Aquatic Vegetation,MA608,2.B.6.Fd.1,2.B.6.Fd.1-African Temperate Freshwater Marsh,African Temperate Freshwater Marsh,1,0.0117647,0.482353,0.937255,1.0
700,11647433.0,2.A.5.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D171,2.A.5.Pm,2.A.5.Pm Northern African Phreatophyte Vegetation,MA700,2.A.5.Pm.1,2.A.5.Pm.1-Date Palm Oasis,Date Palm Oasis,1,0.1,0.9,0.4,1.0
701,20212267.0,2.A.5.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D171,2.A.5.Pm,2.A.5.Pm Northern African Phreatophyte Vegetation,MA701,2.A.5.Pm.2,2.A.5.Pm.2-Northern African Alluvial Wash & Riparian Vegetation,Northern African Alluvial Wash & Riparian Vegetation,1,0.34902,0.501961,0.435294,1.0
702,8687755.0,2.A.1.Fq,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.1,2.A.1,D167,2.A.1.Fq,2.A.1.Fq Malagasy Subhumid Woodland & Savanna,MA702,2.A.1.Fq.1,2.A.1.Fq.1-Malagasy Subhumid Woodland & Savanna,Malagasy Subhumid Woodland & Savanna,1,0.6,0.937255,0.45098,1.0
800,28477367.0,,,,,,,,,,,Water,Water,0,0.0,0.439216,1.0,1.0
952,1847506.0,1.B.1.Ff,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D301,1.B.1.Ph,1.B.1.Ph Northern African Mediterranean Forest,MA952,1.B.1.Ph.3,1.B.1.Ph.3-Mediterranean montane coniferous forest,Mediterranean montane coniferous forest,1,0.25,0.9,0.4,1.0
958,8979.0,2.B.7.Fk,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D176,2.B.7.Pr,2.B.7.Pr Northern African Salt Pan,MA958,2.B.7.Pr.2,2.B.7.Pr.2-Somalia-Masai Salt Pan,Somalia-Masai Salt Pan,1,0.75,0.7,0.7,1.0
959,57929375.0,2.B.7.Fk,2 Shrubland & Grassland,2.B Temperate & Boreal Grassland & Shrubland,2.B.7,2.B.7,D176,2.B.7.Pr,2.B.7.Pr Northern African Salt Pan,MA959,2.B.7.Pr.1,2.B.7.Pr.1-Saharan Mediterranean Salt Pan,Saharan Mediterranean Salt Pan,1,1.0,1.0,1.0,1.0
962,2041.0,2.A.5.Fe,2 Shrubland & Grassland,"2.A Tropical Grassland, Savanna & Shrubland",2.A.5,2.A.5,D171,2.A.5.Pm,2.A.5.Pm Northern African Phreatophyte Vegetation,MA962,2.A.5.Pm.4,2.A.5.Pm.4-Sahelian Riparian Forest,Sahelian Riparian Forest,1,0.4,0.7,0.4,1.0
969,1201949.0,6.B.2.Fd,6 Rock Vegetation,"6.B Mediterranean, Temperate & Boreal Rock Vegetation",6.B.2,6.B.2,D187,6.B.2.Pe,6.B.2.Pe Mediterranean Alpine Rock & Scree,MA969,6.B.2.Pe.1,6.B.2.Pe.1-Northern African Mediterranean Alpine Rock & Scree,Northern African Mediterranean Alpine Rock & Scree,1,1.0,0.882353,0.882353,1.0
971,358527.0,6.A.1.Fc,6 Rock Vegetation,6.A Tropical Rock Vegetation,6.A.1,6.A.1,D185,6.A.1.Fc,"6.A.1.Fc African Tropical Cliff, Scree, Rock & Dune Vegetation",MA971,6.A.1.Fc.1,6.A.1.Fc.2-Atlantic African Coastal Dune,Atlantic African Coastal Dune,1,1.0,0.921569,0.745098,1.0
