Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
51,296145.0,1.A.4.Fe,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D157,1.A.4.Fe,1.A.4.Fe Eastern African Swamp Forest,MA051,1.A.4.Fe.1,1.A.4.Fe.1-Uapaca guineensis Swamp Forest,Uapaca guineensis Swamp Forest,1,0.266667,0.396078,0.537255,1.0
52,935743.0,1.A.4.Fe,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D157,1.A.4.Fe,1.A.4.Fe Eastern African Swamp Forest,MA052,1.A.4.Fe.2,1.A.4.Fe.2-Makaranga Swamp Forest,Makaranga Swamp Forest,1,0.192157,0.458824,0.564706,1.0
61,829599.0,1.A.4.Ff,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D158,1.A.4.Ff,1.A.4.Ff Southern African Swamp Forest,MA061,1.A.4.Ff.1,1.A.4.Ff.1-Zululand-Mozambique Coastal Swamp Forest,Zululand-Mozambique Coastal Swamp Forest,1,0.247059,0.423529,0.67451,1.0
66,18929859.0,1.A.4.Fg,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D159,1.A.4.Fg,1.A.4.Fg Guineo-Congolian Swamp Forest,MA066,1.A.4.Fg.1,1.A.4.Fg.1-Antostema - Alstoneia Swamp Forest,Antostema - Alstoneia Swamp Forest,1,0.168627,0.243137,0.376471,1.0
67,438797.0,1.A.4.Fg,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D159,1.A.4.Fg,1.A.4.Fg Guineo-Congolian Swamp Forest,MA067,1.A.4.Fg.2,1.A.4.Fg.2-Raffia Swamp,Raffia Swamp,1,0.258824,0.341176,0.501961,1.0
68,20356382.0,1.A.4.Fg,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D159,1.A.4.Fg,1.A.4.Fg Guineo-Congolian Swamp Forest,MA068,1.A.4.Fg.3,1.A.4.Fg.3-Central Congo Basin Swamp Forest,Central Congo Basin Swamp Forest,1,0.14902,0.403922,0.631373,1.0
70,7115922.0,1.A.4.Fh,1 Forest to Open Woodland,1.A Tropical Forest,1.A.4,1.A.4,D160,1.A.4.Fh,1.A.4.Fh Sahelian Swamp Forest,MA070,1.A.4.Fh.1,1.A.4.Fh.1-Western African Non-Riverine Swamp Forest,Western African Non-Riverine Swamp Forest,1,0.0,0.45098,0.298039,1.0
81,743716.0,1.B.3.Fe,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.3,1.B.3,D162,1.B.3.Fe,1.B.3.Fe Fynbos Riparian Thicket,MA081,1.B.3.Fe.1,1.B.3.Fe.1-Fynbos Flooded Riparian Thicket,Fynbos Flooded Riparian Thicket,1,0.0,0.658824,0.517647,1.0
86,894516.0,1.B.1.Fe,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D161,1.B.1.Fe,1.B.1.Fe Southern African Warm Temperate Evergreen Forest,MA086,1.B.1.Fe.1,1.B.1.Fe.1-Southern Afrotemperate Forest,Southern Afrotemperate Forest,1,0.494118,0.321569,0.0941176,1.0
87,2503970.0,1.B.1.Fe,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D161,1.B.1.Fe,1.B.1.Fe Southern African Warm Temperate Evergreen Forest,MA087,1.B.1.Fe.2,1.B.1.Fe.2-Northern Afrotemperate Forest,Northern Afrotemperate Forest,1,0.411765,0.215686,0.113725,1.0
88,2577855.0,1.B.1.Fe,1 Forest to Open Woodland,1.B Temperate & Boreal Forest,1.B.1,1.B.1,D161,1.B.1.Fe,1.B.1.Fe Southern African Warm Temperate Evergreen Forest,MA088,1.B.1.Fe.3,1.B.1.Fe.3-Southern Mistbelt Forest,Southern Mistbelt Forest,1,0.407843,0.352941,0.156863,1.0
